,ea_id,com_roadtype,com_vehicles,com_bus,com_urbancenter,com_dailymrkt,com_weeklymrkt,com_postoffice,com_publicphone,com_distprimary,com_classrooms,com_schoolelec,com_medicines,com_clinic,com_distclinic,com_bank
124,10733640,GRADED GRAVELED,NO,No,Yes,Yes,Yes,No,YES,3 to 5 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
125,10734370,GRADED GRAVELED,NO,No,Yes,Yes,No,No,NO,Under 2 kilometers,Yes,Yes,No,No,0 to 5 kilometes,No
126,10734393,DIRT TRACK,YES,No,Yes,Yes,No,No,NO,Under 2 kilometers,Yes,Yes,No,No,0 to 5 kilometes,No
127,10734407,GRADED GRAVELED,YES,No,Yes,Yes,No,No,YES,3 to 5 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
128,10734762,DIRT ROAD (MAINTAINED),YES,Yes,Yes,Yes,No,No,YES,3 to 5 kilometers,No,No,Yes,No,0 to 5 kilometes,No
129,10735130,GRADED GRAVELED,YES,No,Yes,No,No,No,YES,Under 2 kilometers,Yes,Yes,Yes,Yes,,No
130,10735173,TAR/ASPHALT,YES,Yes,Yes,Yes,No,No,YES,Under 2 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
131,10736053,GRADED GRAVELED,YES,No,No,Yes,No,No,YES,Under 2 kilometers,Yes,Yes,Yes,No,0 to 5 kilometes,No
132,10736174,DIRT ROAD (MAINTAINED),YES,No,Yes,No,No,No,NO,5 and above kilometers,Yes,No,No,Yes,,No
133,10736377,GRADED GRAVELED,YES,No,Yes,Yes,No,Yes,NO,Under 2 kilometers,Yes,Yes,Yes,No,0 to 5 kilometes,No
134,10736466,GRADED GRAVELED,YES,No,Yes,Yes,No,No,NO,Under 2 kilometers,Yes,Yes,Yes,No,0 to 5 kilometes,No
135,10736596,DIRT TRACK,YES,Yes,Yes,Yes,No,No,NO,5 and above kilometers,No,No,Yes,No,0 to 5 kilometes,No
